,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
2020-05-22,0.0,4.0,5.0,5.0,82.0,37.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-23,0.0,3.0,0.0,5.0,50.0,20.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-24,1.0,3.0,0.0,6.0,45.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-25,0.0,4.0,0.0,3.0,38.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-26,0.0,2.0,0.0,2.0,37.0,11.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-27,0.0,1.0,1.0,3.0,39.0,10.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-28,0.0,1.0,0.0,4.0,50.0,16.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-29,0.0,2.0,0.0,8.0,35.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-30,1.0,1.0,4.0,4.0,48.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-05-31,0.0,0.0,-2.0,1.0,33.0,20.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-01,0.0,0.0,0.0,3.0,45.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-02,1.0,2.0,0.0,7.0,35.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-03,1.0,-1.0,1.0,4.0,58.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-04,0.0,0.0,0.0,2.0,28.0,23.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-05,0.0,3.0,0.0,3.0,55.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-06,0.0,1.0,1.0,2.0,66.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-07,0.0,3.0,-1.0,3.0,70.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-08,0.0,0.0,0.0,3.0,42.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-09,0.0,2.0,1.0,5.0,47.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-10,0.0,0.0,1.0,6.0,43.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-11,0.0,2.0,0.0,2.0,43.0,17.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-12,0.0,0.0,0.0,4.0,67.0,33.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-13,0.0,0.0,3.0,5.0,75.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-14,0.0,0.0,1.0,23.0,55.0,27.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-15,2.0,-1.0,1.0,3.0,52.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-16,0.0,1.0,-1.0,8.0,42.0,12.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-17,0.0,2.0,0.0,1.0,52.0,34.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-18,0.0,2.0,0.0,8.0,59.0,36.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-19,0.0,1.0,1.0,4.0,65.0,15.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-20,1.0,-1.0,0.0,3.0,89.0,25.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-21,0.0,1.0,0.0,5.0,85.0,46.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-22,0.0,2.0,0.0,7.0,39.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-23,0.0,0.0,0.0,6.0,41.0,13.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-24,0.0,0.0,1.0,12.0,65.0,28.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-25,0.0,1.0,0.0,7.0,89.0,38.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-26,1.0,1.0,1.0,6.0,79.0,32.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-27,0.0,2.0,1.0,5.0,89.0,46.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-28,0.0,1.0,1.0,10.0,118.0,21.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-29,0.0,0.0,0.0,5.0,58.0,24.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-06-30,1.0,2.0,2.0,6.0,73.0,31.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-01,0.0,1.0,0.0,11.0,87.0,31.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-02,1.0,3.0,1.0,7.0,80.0,40.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-03,0.0,3.0,0.0,10.0,75.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-04,-1.0,3.0,0.0,10.0,117.0,69.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-05,0.0,2.0,0.0,9.0,120.0,47.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-06,0.0,0.0,0.0,7.0,36.0,18.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-07,1.0,0.0,0.0,5.0,43.0,26.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-08,0.0,1.0,0.0,5.0,68.0,37.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-09,1.0,2.0,0.0,10.0,140.0,45.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-10,-1.0,1.0,1.0,11.0,103.0,51.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-11,0.0,4.0,2.0,10.0,119.0,66.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-12,0.0,2.0,0.0,5.0,177.0,86.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-13,1.0,0.0,1.0,11.0,87.0,42.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-14,0.0,0.0,0.0,4.0,43.0,22.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-15,1.0,0.0,1.0,5.0,113.0,62.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-16,2.0,5.0,0.0,12.0,110.0,68.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-17,1.0,0.0,1.0,5.0,122.0,53.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-18,2.0,5.0,1.0,15.0,162.0,83.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-19,0.0,4.0,1.0,8.0,101.0,51.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-20,-1.0,2.0,1.0,9.0,109.0,58.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-21,0.0,4.0,2.0,2.0,77.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-22,0.0,3.0,1.0,7.0,90.0,68.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-23,0.0,2.0,1.0,5.0,113.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-24,0.0,3.0,2.0,8.0,146.0,77.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-25,0.0,6.0,1.0,6.0,116.0,69.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-26,0.0,4.0,1.0,6.0,140.0,81.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-27,0.0,3.0,0.0,8.0,119.0,58.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-28,0.0,0.0,1.0,5.0,74.0,36.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-29,1.0,3.0,1.0,8.0,102.0,27.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-30,0.0,7.0,0.0,7.0,120.0,47.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-31,0.0,0.0,0.0,9.0,141.0,64.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-01,0.0,2.0,1.0,6.0,114.0,72.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-02,1.0,1.0,0.0,5.0,91.0,70.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-03,0.0,1.0,1.0,5.0,104.0,37.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-04,0.0,3.0,2.0,9.0,109.0,49.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-05,1.0,5.0,0.0,10.0,127.0,60.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-06,1.0,4.0,5.0,9.0,121.0,64.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-07,0.0,6.0,2.0,17.0,147.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-08,0.0,1.0,4.0,10.0,121.0,79.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-09,0.0,3.0,2.0,10.0,148.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-10,0.0,2.0,3.0,8.0,98.0,59.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-11,0.0,-1.0,1.0,7.0,120.0,52.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-12,1.0,2.0,1.0,4.0,108.0,54.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-13,0.0,1.0,1.0,8.0,136.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-14,0.0,5.0,3.0,6.0,109.0,71.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-15,0.0,3.0,-3.0,5.0,128.0,79.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-16,0.0,0.0,1.0,8.0,105.0,56.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-17,0.0,0.0,1.0,6.0,66.0,44.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-18,0.0,5.0,3.0,10.0,93.0,53.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-19,0.0,0.0,0.0,21.0,104.0,44.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-20,0.0,1.0,1.0,13.0,110.0,65.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-21,2.0,4.0,4.0,16.0,117.0,55.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-22,1.0,3.0,0.0,21.0,109.0,66.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-23,0.0,5.0,0.0,9.0,84.0,40.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-24,0.0,2.0,0.0,7.0,76.0,55.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-25,0.0,1.0,3.0,7.0,72.0,49.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-26,0.0,10.0,1.0,11.0,112.0,67.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-27,0.0,2.0,0.0,4.0,95.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-28,0.0,1.0,0.0,5.0,132.0,41.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-29,0.0,2.0,1.0,9.0,179.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-30,0.0,9.0,3.0,9.0,106.0,60.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-08-31,0.0,2.0,1.0,4.0,95.0,60.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-01,1.0,2.0,2.0,4.0,50.0,33.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-02,0.0,-1.0,5.0,7.0,107.0,67.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-03,1.0,3.0,1.0,6.0,60.0,43.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-04,0.0,3.0,0.0,24.0,343.0,100.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-05,1.0,5.0,3.0,12.0,183.0,98.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-06,0.0,1.0,2.0,13.0,191.0,65.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-07,0.0,5.0,3.0,3.0,76.0,39.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-08,1.0,2.0,0.0,15.0,174.0,41.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-09,3.0,0.0,1.0,7.0,65.0,35.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-10,1.0,5.0,1.0,7.0,85.0,41.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-11,0.0,2.0,4.0,8.0,116.0,75.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-12,2.0,8.0,3.0,9.0,111.0,54.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-13,0.0,-1.0,2.0,14.0,133.0,54.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-14,0.0,4.0,1.0,9.0,91.0,47.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-15,0.0,2.0,0.0,3.0,67.0,33.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-16,0.0,3.0,0.0,7.0,102.0,58.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-17,0.0,1.0,6.0,6.0,110.0,52.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-18,-1.0,6.0,2.0,20.0,117.0,59.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-19,0.0,2.0,1.0,16.0,138.0,54.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-20,0.0,0.0,0.0,12.0,94.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-21,0.0,0.0,0.0,3.0,69.0,29.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-22,0.0,4.0,0.0,1.0,61.0,29.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-23,0.0,3.0,1.0,14.0,76.0,57.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-24,0.0,3.0,0.0,13.0,106.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-25,2.0,5.0,3.0,9.0,144.0,67.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-26,0.0,2.0,1.0,13.0,165.0,95.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-27,1.0,3.0,5.0,12.0,94.0,47.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-28,0.0,3.0,2.0,13.0,138.0,75.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-29,0.0,-2.0,-2.0,9.0,60.0,40.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-09-30,1.0,5.0,3.0,6.0,118.0,82.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-01,0.0,4.0,1.0,8.0,121.0,65.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-02,1.0,2.0,1.0,11.0,115.0,76.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-03,0.0,1.0,0.0,12.0,107.0,74.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-04,0.0,2.0,1.0,14.0,106.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-05,0.0,3.0,1.0,4.0,117.0,45.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-06,0.0,6.0,2.0,4.0,97.0,34.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-07,0.0,1.0,0.0,12.0,140.0,65.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-08,1.0,1.0,1.0,10.0,235.0,101.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-09,1.0,3.0,4.0,11.0,126.0,77.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-10,1.0,4.0,1.0,16.0,135.0,81.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-11,1.0,4.0,2.0,9.0,120.0,59.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-12,0.0,4.0,0.0,9.0,130.0,57.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-13,0.0,4.0,2.0,8.0,119.0,60.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-14,0.0,2.0,2.0,6.0,94.0,78.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-15,0.0,0.0,0.0,5.0,104.0,51.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-16,0.0,4.0,5.0,25.0,152.0,92.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-17,1.0,7.0,4.0,13.0,148.0,85.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-18,0.0,3.0,3.0,22.0,193.0,94.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-19,3.0,3.0,3.0,21.0,74.0,68.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-20,0.0,7.0,2.0,8.0,129.0,87.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-21,0.0,8.0,5.0,15.0,149.0,92.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-22,1.0,1.0,6.0,22.0,183.0,90.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-23,1.0,1.0,6.0,16.0,150.0,90.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-24,0.0,10.0,3.0,21.0,177.0,111.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-25,0.0,5.0,1.0,14.0,152.0,77.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-26,2.0,9.0,5.0,17.0,102.0,46.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-27,1.0,7.0,3.0,10.0,113.0,59.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-28,2.0,5.0,2.0,4.0,112.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-10-29,0.0,8.0,13.0,17.0,144.0,78.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
